2023-08-07 22:42:33.8408|0|DEBUG| |url: |action: |Program.<Main>$| body: 
2023-08-07 22:42:34.0105|0|INFO| |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-07 22:42:34.0105|0|INFO| |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-07 22:42:34.0105|0|INFO| |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-08-07 22:42:34.6440|0|DEBUG| |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController..ctor| body: 
2023-08-07 22:42:35.1548|0|DEBUG| |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController..ctor| body: 
2023-08-07 22:42:41.4807|0|INFO| |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
2023-08-07 22:43:48.2177|0|DEBUG|Program|Init |url: |action: |Program.<Main>$| body: 
2023-08-07 22:43:48.3883|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-07 22:43:48.3883|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-07 22:43:48.3883|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-08-07 22:43:49.0000|0|DEBUG|AppleStore.Controllers.Device.DeviceController|Nlog is good |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController..ctor| body: 
2023-08-07 22:43:49.3531|0|DEBUG|AppleStore.Controllers.Device.DeviceController|Nlog is good |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController..ctor| body: 
2023-08-07 22:44:18.0921|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
2023-08-07 22:49:08.8586|0|DEBUG|Program|Init |url: |action: |Program.<Main>$| body: 
2023-08-07 22:49:09.0245|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-07 22:49:09.0245|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-07 22:49:09.0245|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-08-07 22:49:09.6245|0|DEBUG|AppleStore.Controllers.Device.DeviceController|Nlog is good |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController..ctor| body: 
2023-08-07 22:49:10.1504|0|DEBUG|AppleStore.Controllers.Device.DeviceController|Nlog is good |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController..ctor| body: 
2023-08-07 22:59:13.8666|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
2023-08-07 23:00:59.0144|0|DEBUG|Program|Init |url: |action: |Program.<Main>$| body: 
2023-08-07 23:00:59.1837|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-07 23:00:59.1837|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-07 23:00:59.1837|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-08-07 23:00:59.8262|0|DEBUG|AppleStore.Controllers.Device.DeviceController|Nlog is good |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController..ctor| body: 
2023-08-07 23:01:00.2001|0|DEBUG|AppleStore.Controllers.Device.DeviceController|Nlog is good |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController..ctor| body: 
2023-08-07 23:01:13.0902|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
2023-08-07 23:02:16.2268|0|DEBUG|Program|Init |url: |action: |Program.<Main>$| body: 
2023-08-07 23:02:16.4294|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-07 23:02:16.4450|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-07 23:02:16.4450|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-08-07 23:02:17.1094|0|DEBUG|AppleStore.Controllers.Device.DeviceController|Nlog is good |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController..ctor| body: 
2023-08-07 23:02:17.5812|0|DEBUG|AppleStore.Controllers.Device.DeviceController|Nlog is good |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController..ctor| body: 
2023-08-07 23:03:06.4230|0|DEBUG|AppleStore.Controllers.Device.DeviceController|Catalog open |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController.Catalog| body: 
2023-08-07 23:03:06.5211|0|DEBUG|AppleStore.Controllers.Device.DeviceController|Catalog open |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController.Catalog| body: 
2023-08-07 23:03:46.7907|0|DEBUG|AppleStore.Controllers.Device.DeviceController|Catalog open |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController.Catalog| body: 
2023-08-07 23:03:46.8735|0|DEBUG|AppleStore.Controllers.Device.DeviceController|Catalog open |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController.Catalog| body: 
2023-08-07 23:04:09.5416|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
2023-08-07 23:04:19.3539|0|DEBUG|Program|Init |url: |action: |Program.<Main>$| body: 
2023-08-07 23:04:19.5737|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-07 23:04:19.5737|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-07 23:04:19.5737|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
