2023-10-13 18:45:55.3988|0|INFO|Program|Инициализация программы |url: |action: |Program.<Main>$| body: 
2023-10-13 18:45:57.2273|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-10-13 18:45:57.2273|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-10-13 18:45:57.2273|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-10-13 18:46:09.3757|0|INFO|AppleStore.Controllers.Device.DeviceController|Успешное получение Девайса из базы данных |url: https://localhost/Device/Details/-1/4|action: Details|AppleStore.Controllers.Device.DeviceController.Details| body: 
2023-10-13 18:46:09.5728|0|INFO|AppleStore.Controllers.Device.DeviceController|Успешное получение Девайса из базы данных |url: https://localhost/Device/Details/-1/4|action: Details|AppleStore.Controllers.Device.DeviceController.Details| body: 
2023-10-13 18:46:17.2067|0|INFO|AppleStore.Controllers.Account.AccountController|Пользователь lox12334 Авторизовался успешно |url: https://localhost/Account/Login|action: Login|AppleStore.Controllers.Account.AccountController.Login| body: 
2023-10-13 18:46:27.0125|0|INFO|AppleStore.Controllers.Device.DeviceController|Успешное получение Девайса из базы данных |url: https://localhost/Device/Details/-1/5|action: Details|AppleStore.Controllers.Device.DeviceController.Details| body: 
2023-10-13 18:46:27.1349|0|INFO|AppleStore.Controllers.Device.DeviceController|Успешное получение Девайса из базы данных |url: https://localhost/Device/Details/-1/5|action: Details|AppleStore.Controllers.Device.DeviceController.Details| body: 
2023-10-13 18:46:30.2598|0|INFO|AppleStore.Controllers.Device.DeviceController|Успешное получение Девайса из базы данных |url: https://localhost/Device/Details/-1/6|action: Details|AppleStore.Controllers.Device.DeviceController.Details| body: 
2023-10-13 18:46:30.3850|0|INFO|AppleStore.Controllers.Device.DeviceController|Успешное получение Девайса из базы данных |url: https://localhost/Device/Details/-1/6|action: Details|AppleStore.Controllers.Device.DeviceController.Details| body: 
2023-10-13 18:46:33.8240|0|INFO|AppleStore.Service.Implementations.DeviceService|Все девайсы добавлены в кэш |url: https://localhost/Cart/GetCart|action: GetCart|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-10-13 18:46:33.9405|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Cart/GetCart|action: GetCart|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-10-13 18:46:35.8256|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Order/PlaceOrder|action: PlaceOrder|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-10-13 18:46:35.8256|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/PlaceOrder|action: PlaceOrder|AppleStore.Controllers.Order.OrderController.PlaceOrder| body: 
2023-10-13 18:46:36.1675|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Order/PlaceOrder|action: PlaceOrder|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-10-13 18:46:36.1675|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/PlaceOrder|action: PlaceOrder|AppleStore.Controllers.Order.OrderController.PlaceOrder| body: 
2023-10-13 18:46:42.2112|0|INFO|AppleStore.Service.Implementations.OrderService|Успешное создание заказа |url: https://localhost/Order/PlaceOrder|action: PlaceOrder|AppleStore.Service.Implementations.OrderService.CreateOrder| body: 
2023-10-13 18:46:42.2215|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное создание заказа |url: https://localhost/Order/PlaceOrder|action: PlaceOrder|AppleStore.Controllers.Order.OrderController.PlaceOrder| body: 
2023-10-13 18:46:42.4201|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Order/PlaceOrder|action: PlaceOrder|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-10-13 18:46:42.4201|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/PlaceOrder|action: PlaceOrder|AppleStore.Controllers.Order.OrderController.PlaceOrder| body: 
2023-10-13 18:46:50.6628|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
